YAS bootstrap deployment report
run_id=20260708T074341Z
started_at=2026-07-08T07:43:41Z
mode=best-effort
timeout=10m

TIMESTAMP	PHASE	COMPONENT	RESULT	DETAIL
2026-07-08T07:43:47Z	startup	prerequisites	SKIPPED	SKIP_PREREQUISITES=true
2026-07-08T07:43:54Z	01-operators	yas-bootstrap-operators	READY	Synced and Healthy
2026-07-08T07:43:57Z	01-operators	postgres-operator	READY	Synced and Healthy
2026-07-08T07:43:59Z	01-operators	strimzi-operator	READY	Synced and Healthy
2026-07-08T07:44:02Z	01-operators	eck-operator	READY	Synced and Healthy
2026-07-08T07:54:38Z	01-operators	keycloak-operator	FAILED	Unknown/Healthy: Failed to load target state: failed to generate manifest for source 1 of 1: rpc error: code = Unknown desc = Manifest generation error (cached): `kustomize build <path to cached source>/operators/keycloak` failed exit status 1: Error: accumulating resources: accumulation err='accumulating resources from 'https://raw.githubusercontent.com/keycloak/keycloak-k8s-resources/26.0.2/kubernetes/keycloaks.k8s.keycloak.org-v1.yml': URL is a git repository': failed to run '/usr/bin/git fetch --depth=1 https://raw.githubusercontent.com/keycloak/keycloak-k8s-resources HEAD': remote: 404: Not Found fatal: repository 'https://raw.githubusercontent.com/keycloak/keycloak-k8s-resources/' not found : exit status 128
2026-07-08T07:54:38Z	01-operators	bootstrap	FAILED	Stopped in 01-operators; exit code 1

outcome=FAILED
finished_at=2026-07-08T07:54:38Z
last_phase=01-operators

ARGO CD APPLICATION SNAPSHOT
NAME                     SYNC      HEALTH     REVISION                                                                  MESSAGE
backoffice-bff-dev       Synced    Degraded   <none>                                                                    <none>
backoffice-bff-staging   Synced    Degraded   <none>                                                                    <none>
backoffice-ui-dev        Synced    Degraded   <none>                                                                    <none>
backoffice-ui-staging    Synced    Healthy    <none>                                                                    <none>
cart-dev                 Synced    Healthy    <none>                                                                    <none>
cart-staging             Synced    Healthy    <none>                                                                    <none>
cert-manager             Synced    Healthy    v1.12.0                                                                   <none>
customer-dev             Synced    Healthy    <none>                                                                    <none>
customer-staging         Synced    Healthy    <none>                                                                    <none>
eck-operator             Synced    Healthy    3.4.1                                                                     <none>
elasticsearch            Synced    Healthy    <none>                                                                    <none>
grafana-operator         Synced    Healthy    sha256:2544a2de962bbe263cdabb389a3e802211fedcad6b784d74150d33f5e40a9fd9   <none>
inventory-dev            Synced    Healthy    <none>                                                                    <none>
inventory-staging        Synced    Healthy    <none>                                                                    <none>
kafka                    Synced    Healthy    <none>                                                                    <none>
keycloak                 Synced    Healthy    <none>                                                                    <none>
keycloak-operator        Unknown   Healthy    main                                                                      Failed to load target state: failed to generate manifest for source 1 of 1: rpc error: code = Unknown desc = Manifest generation error (cached): `kustomize build <path to cached source>/operators/keycloak` failed exit status 1: Error: accumulating resources: accumulation err='accumulating resources from 'https://raw.githubusercontent.com/keycloak/keycloak-k8s-resources/26.0.2/kubernetes/keycloaks.k8s.keycloak.org-v1.yml': URL is a git repository': failed to run '/usr/bin/git fetch --depth=1 https://raw.githubusercontent.com/keycloak/keycloak-k8s-resources HEAD': remote: 404: Not Found
fatal: repository 'https://raw.githubusercontent.com/keycloak/keycloak-k8s-resources/' not found
: exit status 128
location-dev                        Synced      Degraded      <none>                                                                    <none>
location-staging                    Synced      Healthy       <none>                                                                    <none>
loki                                Synced      Healthy       <none>                                                                    <none>
media-dev                           Synced      Healthy       <none>                                                                    <none>
media-staging                       Synced      Healthy       <none>                                                                    <none>
opentelemetry-operator              Synced      Healthy       0.118.0                                                                   <none>
order-dev                           Synced      Healthy       <none>                                                                    <none>
order-staging                       Synced      Healthy       <none>                                                                    <none>
payment-dev                         Synced      Healthy       <none>                                                                    <none>
payment-paypal-dev                  Synced      Degraded      <none>                                                                    <none>
payment-paypal-staging              Synced      Degraded      <none>                                                                    <none>
